--- VOWELS ---
a /æ/ AE aa
e /ɛ/ EH eh
i /ɪ/ IH ih
o /ɒ/ AA o
u /ʌ/ AH uh
á /eɪ/ EY ay
é /iː/ IY ee
í /aɪ/ AY iy
ó /oʊ/ OW oh
ú /uː/ UW oo
ä /ɔː/ AO aw
ë /ɜː/ ER er
ö /ɔɪ/ OY oi
ü /aʊ/ AW ow
â /ɑː/ AA ah
û /ʊ/ UH uu

--- CONSONANT VOWELS ---
ȃ /hæ/ HH|AE haa
ã /wæ/ W|AE waa
ą /jæ/ Y|AE iaa
ã̑ /hwæ/ HH|W|AE hwaa
ą̑ /hjæ/ HH|Y|AE hiaa
ȇ /hɛ/ HH|EH heh
ẽ /wɛ/ W|EH weh
ę /jɛ/ Y|EH ieh
ẽ̑ /hwɛ/ HH|W|EH hweh
ę̑ /hjɛ/ HH|Y|EH hieh
ȋ /hɪ/ HH|IH hih
ĩ /wɪ/ W|IH wih
į /jɪ/ Y|IH iih
ĩ̑ /hwɪ/ HH|W|IH hwih
į̑ /hjɪ/ HH|Y|IH hiih
ȏ /hɒ/ HH|AA ho
õ /wɒ/ W|AA wo
ǫ /jɒ/ Y|AA io
õ̑ /hwɒ/ HH|W|AA hwo
ǫ̑ /hjɒ/ HH|Y|AA hio
ȗ /hʌ/ HH|AH huh
ũ /wʌ/ W|AH wuh
ų /jʌ/ Y|AH iuh
ũ̑ /hwʌ/ HH|W|AH hwuh
ų̑ /hjʌ/ HH|Y|AH hiuh
á̑ /heɪ/ HH|EY hay
á̃ /weɪ/ W|EY way
ą́ /jeɪ/ Y|EY iay
á̃̑ /hweɪ/ HH|W|EY hway
ą́̑ /hjeɪ/ HH|Y|EY hiay
é̑ /hiː/ HH|IY hee
é̃ /wiː/ W|IY wee
ę́ /jiː/ Y|IY iee
é̃̑ /hwiː/ HH|W|IY hwee
ę́̑ /hjiː/ HH|Y|IY hiee
í̑ /haɪ/ HH|AY hiy
í̃ /waɪ/ W|AY wiy
į́ /jaɪ/ Y|AY iiy
í̃̑ /hwaɪ/ HH|W|AY hwiy
į́̑ /hjaɪ/ HH|Y|AY hiiy
ó̑ /hoʊ/ HH|OW hoh
ó̃ /woʊ/ W|OW woh
ǫ́ /joʊ/ Y|OW ioh
ó̃̑ /hwoʊ/ HH|W|OW hwoh
ǫ́̑ /hjoʊ/ HH|Y|OW hioh
ú̑ /huː/ HH|UW hoo
ú̃ /wuː/ W|UW woo
ų́ /juː/ Y|UW ioo
ú̃̑ /hwuː/ HH|W|UW hwoo
ų́̑ /hjuː/ HH|Y|UW hioo
ä̑ /hɔː/ HH|AO haw
ä̃ /wɔː/ W|AO waw
ą̈ /jɔː/ Y|AO iaw
ä̃̑ /hwɔː/ HH|W|AO hwaw
ą̈̑ /hjɔː/ HH|Y|AO hiaw
ë̑ /hɜː/ HH|ER her
ë̃ /wɜː/ W|ER wer
ę̈ /jɜː/ Y|ER ier
ë̃̑ /hwɜː/ HH|W|ER hwer
ę̈̑ /hjɜː/ HH|Y|ER hier
ö̑ /hɔɪ/ HH|OY hoi
ö̃ /wɔɪ/ W|OY woi
ǫ̈ /jɔɪ/ Y|OY ioi
ö̃̑ /hwɔɪ/ HH|W|OY hwoi
ǫ̈̑ /hjɔɪ/ HH|Y|OY hioi
ü̑ /haʊ/ HH|AW how
ü̃ /waʊ/ W|AW wow
ų̈ /jaʊ/ Y|AW iow
ü̃̑ /hwaʊ/ HH|W|AW hwow
ų̈̑ /hjaʊ/ HH|Y|AW hiow
â̑ /hɑː/ HH|AA hah
ẫ /wɑː/ W|AA wah
ą̂ /jɑː/ Y|AA iah
ẫ̑ /hwɑː/ HH|W|AA hwah
ą̂̑ /hjɑː/ HH|Y|AA hiah
û̑ /hʊ/ HH|UH huu
û̃ /wʊ/ W|UH wuu
ų̂ /jʊ/ Y|UH iuu
û̃̑ /hwʊ/ HH|W|UH hwuu
ų̂̑ /hjʊ/ HH|Y|UH hiuu
ǎ /væ/ V|AE vaa
ą̌ /vjæ/ V|Y|AE viaa
ě /vɛ/ V|EH veh
ę̌ /vjɛ/ V|Y|EH vieh
ǐ /vɪ/ V|IH vih
ǒ /vɒ/ V|AA vo
ǫ̌ /vjɒ/ V|Y|AA vio
ǔ /vʌ/ V|AH vuh
ų̌ /vjʌ/ V|Y|AH viuh
á̌ /veɪ/ V|EY vay
ą́̌ /vjeɪ/ V|Y|EY viay
é̌ /viː/ V|IY vee
í̌ /vaɪ/ V|AY viy
ó̌ /voʊ/ V|OW voh
ǫ́̌ /vjoʊ/ V|Y|OW vioh
ú̌ /vuː/ V|UW voo
ų́̌ /vjuː/ V|Y|UW vioo
ä̌ /vɔː/ V|AO vaw
ą̈̌ /vjɔː/ V|Y|AO viaw
ë̌ /vɜː/ V|ER ver
ę̈̌ /vjɜː/ V|Y|ER vier
ï̌ /vɪuː/ V|IHUW vioo
ö̌ /vɔɪ/ V|OY voi
ǚ /vaʊ/ V|AW vow
ų̈̌ /vjaʊ/ V|Y|AW viow
â̌ /vɑː/ V|AA vah
ą̂̌ /vjɑː/ V|Y|AA viah
û̌ /vʊ/ V|UH vuu
ų̂̌ /vjʊ/ V|Y|UH viuu
å /fæ/ F|AE faa
ą̊ /fjæ/ F|Y|AE fiaa
e̊ /fɛ/ F|EH feh
ę̊ /fjɛ/ F|Y|EH fieh
i̊ /fɪ/ F|IH fih
o̊ /fɒ/ F|AA fo
ǫ̊ /fjɒ/ F|Y|AA fio
ů /fʌ/ F|AH fuh
ų̊ /fjʌ/ F|Y|AH fiuh
á̊ /feɪ/ F|EY fay
ą́̊ /fjeɪ/ F|Y|EY fiay
é̊ /fiː/ F|IY fee
í̊ /faɪ/ F|AY fiy
ó̊ /foʊ/ F|OW foh
ǫ́̊ /fjoʊ/ F|Y|OW fioh
ú̊ /fuː/ F|UW foo
ų́̊ /fjuː/ F|Y|UW fioo
ä̊ /fɔː/ F|AO faw
ą̈̊ /fjɔː/ F|Y|AO fiaw
ë̊ /fɜː/ F|ER fer
ę̈̊ /fjɜː/ F|Y|ER fier
ï̊ /fɪuː/ F|IHUW fioo
ö̊ /fɔɪ/ F|OY foi
ü̊ /faʊ/ F|AW fow
ų̈̊ /fjaʊ/ F|Y|AW fiow
â̊ /fɑː/ F|AA fah
ą̂̊ /fjɑː/ F|Y|AA fiah
û̊ /fʊ/ F|UH fuu
ų̂̊ /fjʊ/ F|Y|UH fiuu
ȧ /sæ/ S|AE saa
ą̇ /sjæ/ S|Y|AE siaa
ė /sɛ/ S|EH seh
ę̇ /sjɛ/ S|Y|EH sieh
i̇ /sɪ/ S|IH sih
ȯ /sɒ/ S|AA so
ǫ̇ /sjɒ/ S|Y|AA sio
u̇ /sʌ/ S|AH suh
ų̇ /sjʌ/ S|Y|AH siuh
á̇ /seɪ/ S|EY say
ą́̇ /sjeɪ/ S|Y|EY siay
é̇ /siː/ S|IY see
í̇ /saɪ/ S|AY siy
ó̇ /soʊ/ S|OW soh
ǫ́̇ /sjoʊ/ S|Y|OW sioh
ú̇ /suː/ S|UW soo
ų́̇ /sjuː/ S|Y|UW sioo
ä̇ /sɔː/ S|AO saw
ą̈̇ /sjɔː/ S|Y|AO siaw
ë̇ /sɜː/ S|ER ser
ę̈̇ /sjɜː/ S|Y|ER sier
ï̇ /sɪuː/ S|IHUW sioo
ö̇ /sɔɪ/ S|OY soi
ü̇ /saʊ/ S|AW sow
ų̈̇ /sjaʊ/ S|Y|AW siow
â̇ /sɑː/ S|AA sah
ą̂̇ /sjɑː/ S|Y|AA siah
û̇ /sʊ/ S|UH suu
ų̂̇ /sjʊ/ S|Y|UH siuu
a͛ /ræ/ R|AE raa
e͛ /rɛ/ R|EH reh
i͛ /rɪ/ R|IH rih
o͛ /rɒ/ R|AA ro
u͛ /rʌ/ R|AH ruh
á͛ /reɪ/ R|EY ray
é͛ /riː/ R|IY ree
í͛ /raɪ/ R|AY riy
ó͛ /roʊ/ R|OW roh
ú͛ /ruː/ R|UW roo
ä͛ /rɔː/ R|AO raw
ë͛ /rɜː/ R|ER rer
ö͛ /rɔɪ/ R|OY roi
ü͛ /raʊ/ R|AW row
â͛ /rɑː/ R|AA rah
û͛ /rʊ/ R|UH ruu
a̪ /ʃæ/ SH|AE shaa
ą̪ /ʃjæ/ SH|Y|AE shiaa
e̪ /ʃɛ/ SH|EH sheh
ę̪ /ʃjɛ/ SH|Y|EH shieh
i̪ /ʃɪ/ SH|IH shih
o̪ /ʃɒ/ SH|AA sho
ǫ̪ /ʃjɒ/ SH|Y|AA shio
u̪ /ʃʌ/ SH|AH shuh
ų̪ /ʃjʌ/ SH|Y|AH shiuh
á̪ /ʃeɪ/ SH|EY shay
é̪ /ʃiː/ SH|IY shee
í̪ /ʃaɪ/ SH|AY shiy
ó̪ /ʃoʊ/ SH|OW shoh
ǫ̪́ /ʃjoʊ/ SH|Y|OW shioh
ú̪ /ʃuː/ SH|UW shoo
ų̪́ /ʃjuː/ SH|Y|UW shioo
ä̪ /ʃɔː/ SH|AO shaw
ą̪̈ /ʃjɔː/ SH|Y|AO shiaw
ë̪ /ʃɜː/ SH|ER sher
ę̪̈ /ʃjɜː/ SH|Y|ER shier
ï̪ /ʃɪuː/ SH|IHUW shioo
ö̪ /ʃɔɪ/ SH|OY shoi
ü̪ /ʃaʊ/ SH|AW show
ų̪̈ /ʃjaʊ/ SH|Y|AW shiow
â̪ /ʃɑː/ SH|AA shah
ą̪̂ /ʃjɑː/ SH|Y|AA shiah
û̪ /ʃʊ/ SH|UH shuu
ų̪̂ /ʃjʊ/ SH|Y|UH shiuu
a̫ /ʒæ/ ZH|AE zhaa
ą̫ /ʒjæ/ ZH|Y|AE zhiaa
e̫ /ʒɛ/ ZH|EH zheh
ę̫ /ʒjɛ/ ZH|Y|EH zhieh
i̫ /ʒɪ/ ZH|IH zhih
o̫ /ʒɒ/ ZH|AA zho
ǫ̫ /ʒjɒ/ ZH|Y|AA zhio
