New_Word	Synonyms	Frequency	Col2	Col3	Pronunciation	Theme	TargetSize
ädst	audacity	20001	/ɔːdst/	AO|D|S|T	awdst	u	3
útr	nutrition,sustenance,edible,nourishment	20001	/uːtɹ/	UW|T|R	ootr	u	3
ontj	contiguous,contiguity,adjacency	20001	/ɒntdʒ/	AA|N|T|JH	ontj	u	3
atsf	satisfaction,pleased,gratification,satisfactory,satisfying,pleasing	20001	/ætsf/	AE|T|S|F	aatsf	u	3
ezhr	pleasure	20000	/ɛʒɹ/	EH|ZH|R	ehzhr	u	3
óksh	locations,location,sites,site,venues	20000	/oʊkʃ/	OW|K|SH	ohksh	u	3
intlr	intolerant	20000	/ɪntlɹ/	IH|N|T|L|R	ihntlr	u	3
idskr	discriminatory	20000	/ɪdskɹ/	IH|D|S|K|R	ihdskr	u	3
onjl	chronological,chronology,chronometer,chronologically	20000	/ɒndʒl/	AA|N|JH|L	onjl	u	3
imsh	timed,duration,timely	20000	/ɪmʃ/	IH|M|SH	ihmsh	u	3
agr	aggression,aggressive	20000	/ægɹ/	AE|G|R	aagr	u	3
ankw	tranquilizer	20000	/ænkw/	AE|N|K|W	aankw	u	4
astf	pacifist	20000	/æstf/	AE|S|T|F	aastf	u	4
ozhr	composure	20000	/ɒʒɹ/	AA|ZH|R	ozhr	u	3
ezhl	pleasant	20000	/ɛʒl/	EH|ZH|L	ehzhl	u	2
éfgr	grief	20000	/iːfgɹ/	IY|F|G|R	eefgr	u	3
íyt	dietary,diet	20000	/aɪjt/	AY|Y|T	iyyt	u	3
absd	absurdity	20000	/æbsd/	AE|B|S|D	aabsd	u	2
otkl	hypothetical	20000	/ɒtkl/	AA|T|K|L	otkl	u	3
ánsh	ancient,archaic	20000	/eɪnʃ/	EY|N|SH	aynsh	u	3
étst	prehistoric,primitive	20000	/iːtst/	IY|T|S|T	eetst	u	3
íy	i	20000	/aɪj/	AY|Y	iyy	u	2
ïw	you	20000	/juːw/	Y|UW|W	ioow	u	2
ésh	he	20000	/iːʃ/	IY|SH	eesh	u	2
ësh	she	20000	/ɜːsh/	ER|S|HH	ersh	u	2
it	it	20000	/ɪt/	IH|T	iht	u	2
éw	we	20000	/iːw/	IY|W	eew	u	2
